gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000157554	16946.918643586563	-0.1569313665023443	0.1813168258169073	-0.8655091208182338	0.38675941202565833	0.9792337706593559
ENSG00000160191	15290.297257432929	0.11998254640854192	0.1398103418218477	0.8581807672098305	0.39079265434663857	0.9792337706593559
ENSG00000183486	7065.953720776408	-0.1415637705122491	0.16540910625560634	-0.8558402479576361	0.3920861493879492	0.9792337706593559
ENSG00000155307	5571.692170647361	0.18353653684800092	0.21489931226162484	0.8540582792771252	0.39307269890855134	0.9792337706593559
ENSG00000184787	5868.510521973762	-0.17664563353200577	0.20688241223537734	-0.8538455812813602	0.39319055508018563	0.9792337706593559
ENSG00000184221	1337.2497288501222	0.24438276070235873	0.2870091700663878	0.8514806709689129	0.3945023960600284	0.9792337706593559
ENSG00000160209	13748.59722257245	-0.12235644013490828	0.14375637655683435	-0.8511374804061956	0.39469298728366015	0.9792337706593559
ENSG00000160200	7849.583543575656	-0.12423891866244013	0.15261080886273365	-0.8140899035152044	0.4155934494563631	0.9792337706593559
ENSG00000141956	20869.94582263206	-0.11303063989884064	0.14202313354903298	-0.7958607663012676	0.4261129674504657	0.9792337706593559
ENSG00000159086	5680.000472729488	0.14091930804938352	0.1777200466969568	0.7929286012943444	0.4278194224496028	0.9792337706593559
ENSG00000182816	277.4292830665428	-0.2928486404201111	0.3708023869351215	-0.7897701059603756	0.4296620403756413	0.9792337706593559
ENSG00000142173	6155.247967377538	-0.15198413496533997	0.19258747520913444	-0.7891693621316623	0.430013026262097	0.9792337706593559
ENSG00000279493	205.916883307976	-0.4570455285416342	0.5818422758692225	-0.7855144727303415	0.4321519881698701	0.9792337706593559
ENSG00000206107	201.95226450444474	-0.3701738530135539	0.4815702414504517	-0.7686809132944331	0.44208275836459887	0.9792337706593559
ENSG00000188694	502.7757961181744	-0.3484325440159683	0.46474827745011815	-0.7497231532038672	0.4534214599296963	0.9792337706593559
ENSG00000141959	18561.10128058499	-0.9511154687794391	1.2688191510925952	-0.7496068040590514	0.45349155170062116	0.9792337706593559
ENSG00000276612	647.9654748895479	0.28509328736185424	0.38129286173897786	0.7477016119882698	0.45464015863576546	0.9792337706593559
ENSG00000159267	7782.280857965308	-0.1490206377571658	0.20135549982977607	-0.7400872480917897	0.45924705576646413	0.9792337706593559
ENSG00000157578	8109.682358992817	0.1342984552479013	0.18517323735040073	0.7252584507866555	0.46829349029582323	0.9792337706593559
ENSG00000142185	10204.766419918684	0.09957819972873246	0.1393211182923175	0.7147387341508544	0.47477049852864767	0.9792337706593559
ENSG00000186977	205.17506078239128	-0.3246037500309035	0.4575177555036151	-0.7094888583582821	0.4780211631349488	0.9792337706593559
ENSG00000215454	1230.3102170177403	-0.18220237195024352	0.2568159809029931	-0.7094666434292758	0.4780349441765203	0.9792337706593559
ENSG00000173276	10307.094133649362	0.11660110696783801	0.16491367435671836	0.7070432905134518	0.4795395757400414	0.9792337706593559
ENSG00000243646	3084.4207037853052	-0.13785127780473042	0.19874607485816403	-0.6936050329703797	0.4879299365736626	0.9792337706593559
ENSG00000206102	66.64127669873842	-0.44238759126020893	0.6389008126099431	-0.692419828757194	0.4886737170055109	0.9792337706593559
ENSG00000182871	9225.827276280545	0.10136203577516505	0.1468049224045962	0.6904539310733057	0.4899087714595468	0.9792337706593559
ENSG00000186924	133.2707436746047	-0.34924371240699625	0.5100535092298507	-0.6847197521184252	0.49352078241664943	0.9792337706593559
